1139,VSORA,NULL,http://www.vsora.com,7362,P&R TSMC N5A
1146,Adept Neuro SA,NULL,http://www.aleva-neuro.com,6049,MOPx
1148,Safran Sensing Norway,NULL,http://www.sensonor.com,7299,ASIC avec ADC 140db
1150,3D-plus,NULL,www.3d-plus.com,4020,Projet ASIC
1150,3D-plus,NULL,www.3d-plus.com,7423,"Interface MIPI -> Ethernet, SpaceWire et/ou MIPI"
1154,NIPSON Technology,NULL,http://www.nipson.com/,6035,Industrialisation ASIC
1156,DEBIOTECH,NULL,https://www.debiotech.com/page/index.php?page=home,5,Projet pompe insuline
1157,SLB,NULL,http://www.slb.com,7378,SALM
1157,SLB,NULL,http://www.slb.com,7469,SALM - Design
1157,SLB,NULL,http://www.slb.com,7499,SALM-22FDX
2147,Scubapro Uwatec,NULL,https://ww2.scubapro.com,6050,UW9
2153,Seal SQ France,NULL,http://www.wisekey.com,7285,Wezen
2153,Seal SQ France,NULL,http://www.wisekey.com,8649,1 licence X100 pour 6 mois
2153,Seal SQ France,NULL,http://www.wisekey.com,7564,WEZEN - support indus WP3
2153,Seal SQ France,NULL,http://www.wisekey.com,7595,Licences EDA - suite
2153,Seal SQ France,NULL,http://www.wisekey.com,7596,Licences Questa Prime
2153,Seal SQ France,NULL,http://www.wisekey.com,7615,Wezen - 8 licences X100
2153,Seal SQ France,NULL,http://www.wisekey.com,8631,Vesuve - support caracterisation
2153,Seal SQ France,NULL,http://www.wisekey.com,7514,3 licences X100 pour 3 mois
2153,Seal SQ France,NULL,http://www.wisekey.com,7520,Mérapi
2153,Seal SQ France,NULL,http://www.wisekey.com,7549,SUMBA - Faisabilité IP petite
2153,Seal SQ France,NULL,http://www.wisekey.com,7558,Wezen - Amendment 3 - RNG Charac
2153,Seal SQ France,NULL,http://www.wisekey.com,7559,extra EDA
2153,Seal SQ France,NULL,http://www.wisekey.com,7387,Adaptation TPMP (P&R) sur circuit existant
2153,Seal SQ France,NULL,http://www.wisekey.com,7402,WEZEN - Amendement 1
2153,Seal SQ France,NULL,http://www.wisekey.com,7414,WEZEN - Avenant 1 - IP IO PAD
