Comp_CompanyId,Comp_Name,Comp_Website,bronze_extracted_at,bronze_source_file,company_id,parent_company_id,has_multiple_sites,site_order
2,CEA Grenoble,,2025-09-18 11:45:13.289149,Legacy_companies.csv,2,2,False,1
3,Malvern Panalytical,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3,3,False,1
1057,Insightness,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1057,1057,False,1
1064,eLichens,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1064,1064,False,1
1071,SERCEL,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1071,1071,False,1
1072,BAUMER ELECTRIC AG,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1072,1072,False,1
1074,THALES ALENIA SPACE Toulouse,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1074,1074,False,1
1075,Redtree Solutions,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1075,1075,False,1
1076,ALEDIA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1076,1076,False,1
1081,FRAMATOME,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1081,1081,False,1
1089,SP3H,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1089,1089,False,1
1095,CISSOID  S.A.,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1095,1095,False,1
1100,CARMAT,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1100,1100,False,1
1115,ISORG,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1115,1115,False,1
1119,VITEC Video Innovation,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1119,1119,False,1
1128,@-health,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1128,1128,False,1
1132,intoPIX S.A.,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1132,1132,False,1
1139,VSORA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1139,1139,False,1
1146,Adept Neuro SA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1146,1146,False,1
1148,Safran Sensing Norway,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1148,1148,False,1
1150,3D-plus,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1150,1150,False,1
1154,NIPSON Technology,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1154,1154,False,1
1156,DEBIOTECH,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1156,1156,False,1
1157,SLB,,2025-09-18 11:45:13.289149,Legacy_companies.csv,1157,1157,False,1
2147,Scubapro Uwatec,,2025-09-18 11:45:13.289149,Legacy_companies.csv,2147,2147,False,1
2153,Seal SQ France,,2025-09-18 11:45:13.289149,Legacy_companies.csv,2153,2153,False,1
2159,Zhortech,,2025-09-18 11:45:13.289149,Legacy_companies.csv,2159,2159,False,1
2160,CNES,,2025-09-18 11:45:13.289149,Legacy_companies.csv,2160,2160,False,1
2191,SCHNEIDER Electric Eybens,,2025-09-18 11:45:13.289149,Legacy_companies.csv,2191,2191,False,1
3175,AnotherBrain,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3175,3175,False,1
3176,CAIRDAC,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3176,3176,False,1
3179,Moduleus,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3179,3179,False,1
3180,NanoXplore,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3180,3180,False,1
3186,SentinHealth,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3186,3186,False,1
3187,VERMON,,2025-09-18 11:45:13.289149,Legacy_companies.csv,3187,3187,False,1
4196,Neurallys,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4196,4196,False,1
4201,Panaxium,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4201,4201,False,1
4202,Fine Heart,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4202,4202,False,1
4214,VALEO Pouillon,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4214,4214,False,1
