company_record_id,company_name,company_owner,create_date,phone_number,last_activity_date,city,country_region,industry,legacy_contact_id,hubspot_contact_id,company_record_id_legacy,primary_contact_email,company_association_status
,Semtech France Sas,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4291,TBD,PENDING
,Semtech Neuchâtel,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4293,TBD,PENDING
,Dream,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4299,TBD,PENDING
,Lynred,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4305,TBD,PENDING
,Alstom Aix,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4311,TBD,PENDING
,Synergia Medical,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4331,TBD,PENDING
,Melexis Tessenderlo,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4342,TBD,PENDING
,Menta Valbonne,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4345,TBD,PENDING
,Neelogy,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4349,TBD,PENDING
,Guc,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4369,TBD,PENDING
,Rambus,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4710,TBD,PENDING
,Thales Dis Design Services,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4718,TBD,PENDING
,Idemia Meyreuil,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4719,TBD,PENDING
,Enyx,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,5745,TBD,PENDING
,Emka Technologies,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,5768,TBD,PENDING
,Biofourmis,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,5779,TBD,PENDING
,Sodern,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,5787,TBD,PENDING
,Senis,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,5795,TBD,PENDING
,Elsys Design 06,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,5808,TBD,PENDING
,Thales Avs Mérignac,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,6899,TBD,PENDING
